Player,Team,PrimaryRanking,ID
A.J. Ewart,CAN,36,50286
Aaron Rai,ENG,126,46414
Adam Schenk,USA,90,47347
Adam Scott,AUS,27,24502
Adam Svensson,CAN,124,40115
Adrien Dumont de Chassart,BEL,73,50497
Adrien Saddier,FRA,96,34371
Akshay Bhatia,USA,79,56630
Alex Smalley,USA,37,46340
Alvaro Quiros,ESP,,27072
Andi Xu,CHN,,57872
Andrew Novak,USA,83,51997
Andrew Putnam,USA,88,34256
Arron Oberholser,USA,,20628
Austin Eckroat,USA,129,57362
Austin Smotherman,USA,92,50095
Ben Griffin,USA,23,54591
Bert Yancey,USA,,2309
Billy Farrell,USA,,5201
Billy Horschel,USA,85,29420
Blades Brown,USA,100,66417
Bob Ackerman,USA,,1003
Bob Eastwood,USA,,1303
Bob Unger,USA,,19201
Bob Zender,USA,,2316
Brad Adamonis,USA,,23778
Brad Fabel,USA,,1323
Brandt Snedeker,USA,147,27649
Brendan Valdes,USA,,65110
Brett Ogle,AUS,,1890
Brett Quigley,USA,,7749
Brett Upper,USA,,2229
Brian Campbell,USA,136,46443
Brian Harman,USA,139,27644
Brice Garnett,USA,108,29535
Brooks Koepka,USA,137,36689
Bruce Zabriski,USA,,2313
Bud Cauley,USA,81,34021
Cam Davis,AUS,141,45157
Cameron Adam,SCO,,67145
Cameron Yancey,USA,,26489
Cameron Young,USA,61,57366
Camilo Villegas,COL,148,27770
Carson Young,USA,114,52513
Chad Ramey,USA,24,47983
Chandler Phillips,USA,48,57900
Chris Gotterup,USA,4,59095
Christiaan Bezuidenhout,RSA,65,45522
Christo Lamprecht,RSA,125,54422
Collin Morikawa,USA,133,50525
Corey Conners,CAN,107,39997
Dan Brown,ENG,63,57259
Dana Quigley,USA,,1977
Daniel Berger,USA,17,40026
Daniel Iceman,USA,,47277
Daniel Young,SCO,,48061
Danny Walker,USA,116,54607
Dave Barber,USA,,1054
David Ford,USA,59,65256
David Ishii,USA,,1560
David Lipsky,USA,67,36326
David Zelinka,CZE,,39988
Davis Chatfield,USA,130,59006
Davis Riley,USA,60,47995
Davis Thompson,USA,80,58168
Denny McCarthy,USA,43,47993
Dewey Arnette,USA,,1037
Don Fairfield,USA,,1325
Doug Ghim,USA,86,52375
Dylan Wu,USA,70,54783
Ed Byman,USA,,11480
Ed Dougherty,USA,,1288
Emiliano Grillo,ARG,111,31646
